"code","iso","country","TCL.ind.1995","TCL.ind.1996","TCL.ind.1997","TCL.ind.1998","TCL.ind.1999","TCL.ind.2000","TCL.ind.2001","TCL.ind.2002","TCL.ind.2003","TCL.ind.2004","TCL.ind.2005","TCL.ind.2006","TCL.ind.2007","TCL.ind.2008","TCL.ind.2009","TCL.ind.2010","TCL.ind.2011","TCL.ind.2012","TCL.ind.2013","TCL.ind.2014","TCL.ind.2015","TCL.ind.2016","TCL.ind.2017","TCL.ind.2018","TCL.ind.2019","TCL.ind.2020"
408,"PRK","North Korea",40.0333736931798,40.0333736931798,40.0333736931798,40.0333736931798,40.0333736931798,40.0333736931798,40.0333736931798,40.0333736931798,40.0333736931798,40.0333736931798,40.0333736931798,39.8795433554067,38.1208548859928,35.9479499880104,35.6465344273895,35.228074649012,36.466897266017,35.8659111600546,38.5070590850919,38.9790602357946,40.9243869764984,39.4431785827132,41.4705495660749,40.7716286878702,40.7716286878702,40.7716286878702
807,"MKD","North Macedonia",40.9304397186211,40.9304397186211,40.9304397186211,40.9304397186211,40.9304397186211,40.9304397186211,40.9304397186211,40.9304397186211,40.9304397186211,40.9304397186211,40.9304397186211,40.9681785353274,36.66678501639,33.3717531199022,31.5215048906148,30.7898908371037,30.6980051602815,31.42013099569,33.9295594745248,36.6777953355901,38.5956238033863,39.5862088644204,42.7313213382353,41.9743591537415,41.9743591537415,41.9743591537415
578,"NOR","Norway",39.622079997121,39.622079997121,39.622079997121,39.622079997121,39.622079997121,39.622079997121,39.622079997121,39.622079997121,39.622079997121,39.622079997121,39.622079997121,37.8706699626249,37.4109401880494,35.8628836336711,36.6894180592617,35.5012819079927,36.1020510877195,36.2509701589166,36.3099541865099,35.1118955689474,35.3676490206237,33.4993447091318,31.8349789900283,30.4544975837158,30.4544975837158,30.4544975837158
512,"OMN","Oman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,"PAK","Pakistan",53.9127077011143,53.9127077011143,53.9127077011143,53.9127077011143,53.9127077011143,53.9127077011143,53.9127077011143,53.9127077011143,53.9127077011143,53.9127077011143,53.9127077011143,50.200051755209,48.1076182575858,47.1390266478812,47.7074885424508,48.2560929264903,50.62389591976,53.5541236544725,57.9456375419917,63.7163696878126,71.7853614453164,82.6215741113247,84.4506733172667,83.7435331283975,83.7435331283975,83.7435331283975
585,"PLW","Palau",48.2345966999029,48.2345966999029,48.2345966999029,48.2345966999029,48.2345966999029,48.2345966999029,48.2345966999029,48.2345966999029,48.2345966999029,48.2345966999029,48.2345966999029,49.2511545198422,48.4081568047979,45.8819181150872,45.8342991108707,46.2203657720556,46.4677798078213,50.1543537377328,53.5907601683327,48.9435962149301,51.1994419237974,53.6788069438818,56.4315883545238,58.4516842925602,58.4516842925602,58.4516842925602
591,"PAN","Panama",36.2030925562339,36.2030925562339,36.2030925562339,36.2030925562339,36.2030925562339,36.2030925562339,36.2030925562339,36.2030925562339,36.2030925562339,36.2030925562339,36.2030925562339,33.8330068752456,33.6419474129143,30.3229669472851,28.4231865540564,28.1576909026902,29.1617518815627,29.5005699838946,32.2529570573008,35.3155108221789,36.0738373176428,37.0402734115469,34.8456123748333,32.9636711719513,32.9636711719513,32.9636711719513
598,"PNG","Papua New Guinea",48.6292139089757,48.6292139089757,48.6292139089757,48.6292139089757,48.6292139089757,48.6292139089757,48.6292139089757,48.6292139089757,48.6292139089757,48.6292139089757,48.6292139089757,47.5077827452516,47.7954998007936,45.8407903228983,46.2689085837949,44.9224388056673,45.0660256661316,44.0576021049797,44.6476147902338,42.4742375006095,39.0271929519507,36.0456653509209,35.1393454239069,33.9804087161987,33.9804087161987,33.9804087161987
600,"PRY","Paraguay",20.8032439670699,20.8032439670699,20.8032439670699,20.8032439670699,20.8032439670699,20.8032439670699,20.8032439670699,20.8032439670699,20.8032439670699,20.8032439670699,20.8032439670699,20.8252918637926,18.4542542344625,17.474587516022,16.590995535057,15.2183783059214,13.1582803293856,12.6515209091878,12.9982124023244,13.0432477984362,14.0782890972003,15.0218233972451,16.1408358483875,16.6157427489483,16.6157427489483,16.6157427489483
604,"PER","Peru",45.6774151206578,45.6774151206578,45.6774151206578,45.6774151206578,45.6774151206578,45.6774151206578,45.6774151206578,45.6774151206578,45.6774151206578,45.6774151206578,45.6774151206578,45.6047142307614,44.7542820218714,43.5821115922632,42.0527518257182,42.4480410130976,41.7614150013614,39.1213555599575,37.9441955856996,37.5756404255954,37.2607867747997,35.9680157685191,35.6485827380827,35.6212516670007,35.6212516670007,35.6212516670007
