"code","iso","country","BHV.ind.1995","BHV.ind.1996","BHV.ind.1997","BHV.ind.1998","BHV.ind.1999","BHV.ind.2000","BHV.ind.2001","BHV.ind.2002","BHV.ind.2003","BHV.ind.2004","BHV.ind.2005","BHV.ind.2006","BHV.ind.2007","BHV.ind.2008","BHV.ind.2009","BHV.ind.2010","BHV.ind.2011","BHV.ind.2012","BHV.ind.2013","BHV.ind.2014","BHV.ind.2015","BHV.ind.2016","BHV.ind.2017","BHV.ind.2018","BHV.ind.2019","BHV.ind.2020"
222,"SLV","El Salvador",44.3278,44.3278,44.3278,44.3278,44.3278,44.3278,44.3278,44.3278,44.3278,44.3278,44.3278,44.41954,44.51128,44.60302,44.69476,44.7865,44.76344,44.74038,44.71732,44.69426,44.6712,44.6712,44.6712,44.6712,44.6712,44.6712
226,"GNQ","Equatorial Guinea",63.2605,63.2605,63.2605,63.2605,63.2605,63.2605,63.2605,63.2605,63.2605,63.2605,63.2605,63.22906,63.19762,63.16618,63.13474,63.1033,63.1033,63.1033,63.1033,63.1033,63.1033,63.1033,63.1033,63.1033,63.1033,63.1033
232,"ERI","Eritrea",59.4209,59.4209,59.4209,59.4209,59.4209,59.4209,59.4209,59.4209,59.4209,59.4209,59.4209,59.45908,59.49726,59.53544,59.57362,59.6118,59.6118,59.6118,59.6118,59.6118,59.6118,59.6118,59.6118,59.6118,59.6118,59.6118
233,"EST","Estonia",60.8953,60.8953,60.8953,60.8953,60.8953,60.8953,60.8953,60.8953,60.8953,60.8953,60.8953,60.88568,60.87606,60.86644,60.85682,60.8472,60.78114,60.71508,60.64902,60.58296,60.5169,60.5169,60.5169,60.5169,60.5169,60.5169
748,"SWZ","Eswatini",45.4817,45.4817,45.4817,45.4817,45.4817,45.4817,45.4817,45.4817,45.4817,45.4817,45.4817,45.38508,45.28846,45.19184,45.09522,44.9986,44.9986,44.9986,44.9986,44.9986,44.9986,44.9986,44.9986,44.9986,44.9986,44.9986
231,"ETH","Ethiopia",56.5061,56.5061,56.5061,56.5061,56.5061,56.5061,56.5061,56.5061,56.5061,56.5061,56.5061,56.5361,56.5661,56.5961,56.6261,56.6561,56.65612,56.65614,56.65616,56.65618,56.6562,56.6562,56.6562,56.6562,56.6562,56.6562
234,"FRO","Faeroe Islands",44.0237,44.0237,44.0237,44.0237,44.0237,44.0237,44.0237,44.0237,44.0237,44.0237,44.0237,44.04746,44.07122,44.09498,44.11874,44.1425,43.97742,43.81234,43.64726,43.48218,43.3171,43.3171,43.3171,43.3171,43.3171,43.3171
238,"FLK","Falkland Islands",70.2273,70.2273,70.2273,70.2273,70.2273,70.2273,70.2273,70.2273,70.2273,70.2273,70.2273,70.51222,70.79714,71.08206,71.36698,71.6519,71.4144,71.1769,70.9394,70.7019,70.4644,70.4644,70.4644,70.4644,70.4644,70.4644
242,"FJI","Fiji",69.818,69.818,69.818,69.818,69.818,69.818,69.818,69.818,69.818,69.818,69.818,70.26574,70.71348,71.16122,71.60896,72.0567,72.05668,72.05666,72.05664,72.05662,72.0566,72.0566,72.0566,72.0566,72.0566,72.0566
246,"FIN","Finland",76.17,76.17,76.17,76.17,76.17,76.17,76.17,76.17,76.17,76.17,76.17,76.13794,76.10588,76.07382,76.04176,76.0097,75.96758,75.92546,75.88334,75.84122,75.7991,75.7991,75.7991,75.7991,75.7991,75.7991
