,country,year,DMT
422,Sierra Leone,1998,-21.0697329146968
423,Singapore,1998,-25.6831365906512
424,Sint Maarten,1998,
425,Slovakia,1998,-23.6117866800517
426,Slovenia,1998,-23.712428348419
427,Solomon Islands,1998,-22.0163422250153
428,Somalia,1998,-18.0446625974121
429,South Africa,1998,-22.9568241222218
430,South Korea,1998,-24.2699317154642
431,South Sudan,1998,
432,Spain,1998,-24.2092698399114
433,Sri Lanka,1998,-22.4876587672428
434,State of Palestine,1998,
435,Sudan,1998,-20.3524094544149
436,Suriname,1998,-22.1732628795895
437,Svalbard and Jan Mayen Islands,1998,
438,Swaziland,1998,-22.3298465824204
439,Sweden,1998,-24.5002854282374
440,Switzerland,1998,-25.032241113853
441,Syria,1998,-21.315506046034
442,Taiwan,1998,-23.8503278669907
443,Tajikistan,1998,-21.7012912050438
444,Tanzania,1998,-20.8260277185037
445,Thailand,1998,-22.9269701969668
446,Timor-Leste,1998,
447,Togo,1998,-21.7908241286527
448,Tokelau,1998,
449,Tonga,1998,-22.12170227812
450,Trinidad and Tobago,1998,-24.1626864922208
451,Tunisia,1998,-23.5461331385904
452,Turkey,1998,-23.5282818326018
453,Turkmenistan,1998,-20.5565422418162
454,Turks and Caicos Islands,1998,
455,Tuvalu,1998,-21.8341459475194
456,Uganda,1998,-21.6372249403124
457,Ukraine,1998,-21.6472782460068
458,United Arab Emirates,1998,-23.4440417484897
459,United Kingdom,1998,-23.7974238979485
460,United States of America,1998,-23.6396170983986
461,United States Virgin Islands,1998,
462,Uruguay,1998,-21.6806360640698
463,Uzbekistan,1998,-20.3845460841553
464,Vanuatu,1998,-21.1291678254004
465,Venezuela,1998,-22.3821101258329
466,Viet Nam,1998,-21.9260891245685
467,Wallis and Futuna Islands,1998,
468,Western Sahara,1998,
469,Yemen,1998,-23.6131910776767
470,Zambia,1998,-19.3714835118252
471,Zimbabwe,1998,-21.8802558715174
472,Afghanistan,1999,
473,Albania,1999,-22.4195996883653
474,Algeria,1999,-23.0216338984748
475,American Samoa,1999,
476,Andorra,1999,
477,Angola,1999,-20.5970338534941
478,Anguilla,1999,
479,Antigua and Barbuda,1999,-22.9924320534071
480,Argentina,1999,-22.4850285107059
481,Armenia,1999,-22.3927335234614
482,Aruba,1999,
483,Australia,1999,-22.2553857149529
484,Austria,1999,-24.3842504722702
485,Azerbaijan,1999,-21.6978685368773
486,Bahamas,1999,-24.1206832739887
487,Bahrain,1999,-22.8777057179496
488,Bangladesh,1999,-21.9498486364187
489,Barbados,1999,-21.3961782484447
490,Belarus,1999,-22.323536903642
491,Belgium,1999,-24.3869571903252
492,Belize,1999,-19.276721081346
493,Benin,1999,-21.8716041664162
494,Bermuda,1999,
495,Bhutan,1999,-21.9740986374295
496,Bolivia,1999,-21.2469932614307
497,Bosnia and Herzegovina,1999,-22.5573558489988
498,Botswana,1999,-20.7922339876165
499,Brazil,1999,-22.6454459183407
500,British Virgin Islands,1999,
501,Brunei Darussalam,1999,-21.6498064283681
502,Bulgaria,1999,-22.6276913080588
503,Burkina Faso,1999,-21.1068786255677
504,Burundi,1999,-22.1616129727204
505,Cambodia,1999,-20.7259970489508
506,Cameroon,1999,-21.9002548583603
507,Canada,1999,-23.0791091543234
508,Cape Verde,1999,-23.7080552477375
509,Cayman Islands,1999,
510,Central African Republic,1999,-18.9339367954001
511,Chad,1999,-20.1941870446674
512,Chile,1999,-23.6554877985669
513,China,1999,-22.5409884616619
514,Colombia,1999,-22.5510591180075
515,Comoros,1999,-22.2541776949874
516,Cook Islands,1999,
517,Costa Rica,1999,-23.1684801568489
518,Cote d'Ivoire,1999,-21.9000504185957
519,Croatia,1999,-23.7544668887132
520,Cuba,1999,-23.1224241090807
521,Curacao,1999,
522,Cyprus,1999,-24.6048592784313
523,Czech Republic,1999,-23.5474166848319
524,Dem. Rep. Congo,1999,-20.4239943299381
525,Denmark,1999,-24.1169231353331
526,Djibouti,1999,-21.8904116416768
527,Dominica,1999,-22.5996324290305
528,Dominican Republic,1999,-23.1090319171441
529,Ecuador,1999,-22.7992657454585
530,Egypt,1999,-23.3025305102498
531,El Salvador,1999,-23.1421970842012
532,Equatorial Guinea,1999,-20.8043680633025
533,Eritrea,1999,-21.4100248569106
534,Estonia,1999,-22.9499447526245
535,Ethiopia,1999,-20.5277175324553
536,Faeroe Islands,1999,
537,Falkland Islands,1999,
538,Fiji,1999,-22.8426090564351
539,Finland,1999,-24.0887046965411
540,France,1999,-24.2100213177183
541,French Guiana,1999,
542,French Polynesia,1999,
543,Gabon,1999,-23.7667874457456
544,Gambia,1999,-19.7977264017222
545,Georgia,1999,-21.583074288071
546,Germany,1999,-24.3335045344523
547,Ghana,1999,-22.4791758919877
548,Gibraltar,1999,
549,Greece,1999,-23.9523446788196
550,Greenland,1999,
551,Grenada,1999,-20.2450315106146
552,Guadeloupe,1999,
553,Guam,1999,
554,Guatemala,1999,-23.0972150732733
555,Guinea,1999,-21.1367154918596
556,Guinea-Bissau,1999,-21.1737373954411
557,Guyana,1999,-21.6475575429209
558,Haiti,1999,-22.2543627381149
