,country,year,DPT
596,Mali,2007,
597,Malta,2007,1022.1154
598,Marshall Islands,2007,
599,Martinique,2007,
600,Mauritania,2007,
601,Mauritius,2007,807.5915
602,Mayotte,2007,
603,Mexico,2007,513.374
604,Micronesia,2007,
605,Moldova,2007,390.242
606,Monaco,2007,
607,Mongolia,2007,630.5211
608,Montenegro,2007,469.0527
609,Montserrat,2007,
610,Morocco,2007,815.9758
611,Mozambique,2007,0.5574
612,Myanmar,2007,360.9387
613,Namibia,2007,107.0159
614,Nauru,2007,
615,Nepal,2007,2.4502
616,Netherlands,2007,405.939
617,Netherlands Antilles,2007,
618,New Caledonia,2007,
619,New Zealand,2007,198.32
620,Nicaragua,2007,538.486
621,Niger,2007,544.3856
622,Nigeria,2007,367.968
623,Niue,2007,
624,Norfolk Island,2007,
625,North Korea,2007,477.5197
626,Northern Mariana Islands,2007,
627,Norway,2007,6.742
628,Oman,2007,685.1414
629,Pakistan,2007,435.7383
630,Palau,2007,
631,Panama,2007,320.7443
632,Papua New Guinea,2007,
633,Paraguay,2007,0.0
634,Peru,2007,200.5914
635,Philippines,2007,449.965
636,Pitcairn,2007,
637,Poland,2007,677.192
638,Portugal,2007,388.602
639,Puerto Rico,2007,
640,Qatar,2007,568.1993
641,Republic of Congo,2007,102.1916
642,Reunion,2007,
643,Romania,2007,467.3405
644,Russia,2007,328.0137
645,Rwanda,2007,
646,Saint Helena,2007,
647,Saint Kitts and Nevis,2007,
648,Saint Lucia,2007,
649,Saint Pierre and Miquelon,2007,
650,Saint Vincent and the Grenadines,2007,
651,Samoa,2007,
652,San Marino,2007,
653,Sao Tome and Principe,2007,
654,Saudi Arabia,2007,731.7174
655,Senegal,2007,611.1487
656,Serbia,2007,645.287
657,Seychelles,2007,
658,Sierra Leone,2007,
659,Singapore,2007,494.0387
660,Sint Maarten,2007,
661,Slovakia,2007,233.469
662,Slovenia,2007,373.919
663,Solomon Islands,2007,
664,Somalia,2007,
665,South Africa,2007,844.013
666,South Korea,2007,463.599
667,South Sudan,2007,
668,Spain,2007,392.344
669,Sri Lanka,2007,398.0688
670,State of Palestine,2007,
671,Sudan,2007,586.0506
672,Suriname,2007,248.2605
673,Svalbard and Jan Mayen Islands,2007,
674,Swaziland,2007,
675,Sweden,2007,39.76
676,Switzerland,2007,39.778
677,Syria,2007,628.3059
678,Taiwan,2007,662.2258
679,Tajikistan,2007,16.8839
680,Tanzania,2007,330.8991
681,Thailand,2007,552.7102
682,Timor-Leste,2007,
683,Togo,2007,407.9439
684,Tokelau,2007,
685,Tonga,2007,
686,Trinidad and Tobago,2007,757.651
687,Tunisia,2007,508.3716
688,Turkey,2007,486.467
689,Turkmenistan,2007,798.9173
690,Turks and Caicos Islands,2007,
691,Tuvalu,2007,
692,Uganda,2007,
693,Ukraine,2007,353.0086
694,United Arab Emirates,2007,724.0667
695,United Kingdom,2007,509.222
696,United States of America,2007,560.811
697,United States Virgin Islands,2007,
698,Uruguay,2007,105.4406
699,Uzbekistan,2007,485.9977
700,Vanuatu,2007,
701,Venezuela,2007,207.9411
702,Viet Nam,2007,431.4064
703,Wallis and Futuna Islands,2007,
704,Western Sahara,2007,
705,Yemen,2007,817.7427
706,Zambia,2007,2.6086
707,Zimbabwe,2007,441.1306
708,Afghanistan,2008,
709,Albania,2008,0.0
710,Algeria,2008,599.3545
711,American Samoa,2008,
712,Andorra,2008,
713,Angola,2008,333.3272
714,Anguilla,2008,
715,Antigua and Barbuda,2008,
716,Argentina,2008,366.1292
717,Armenia,2008,165.4893
718,Aruba,2008,
719,Australia,2008,870.795
720,Austria,2008,188.1
721,Azerbaijan,2008,499.9428
722,Bahamas,2008,
723,Bahrain,2008,769.5499
724,Bangladesh,2008,574.3879
725,Barbados,2008,
726,Belarus,2008,305.1407
727,Belgium,2008,250.054
728,Belize,2008,
729,Benin,2008,685.8079
730,Bermuda,2008,
731,Bhutan,2008,
732,Bolivia,2008,376.9367
733,Bosnia and Herzegovina,2008,818.1749
734,Botswana,2008,1511.6686
735,Brazil,2008,90.5653
736,British Virgin Islands,2008,
737,Brunei Darussalam,2008,794.7558
738,Bulgaria,2008,503.8745
739,Burkina Faso,2008,
740,Burundi,2008,
741,Cambodia,2008,828.7295
742,Cameroon,2008,162.1211
743,Canada,2008,190.756
744,Cape Verde,2008,
745,Cayman Islands,2008,
746,Central African Republic,2008,
747,Chad,2008,
748,Chile,2008,405.205
749,China,2008,733.4795
750,Colombia,2008,109.0051
751,Comoros,2008,
752,Cook Islands,2008,
753,Costa Rica,2008,64.0928
754,Cote d'Ivoire,2008,451.101
755,Croatia,2008,333.7438
756,Cuba,2008,772.1189
757,Curacao,2008,693.6449
758,Cyprus,2008,766.1727
759,Czech Republic,2008,547.0
760,Dem. Rep. Congo,2008,7.8108
761,Denmark,2008,306.198
762,Djibouti,2008,
763,Dominica,2008,
764,Dominican Republic,2008,635.5926
765,Ecuador,2008,250.855
766,Egypt,2008,465.3283
767,El Salvador,2008,273.1888
