,country,year,DNT
607,Mongolia,1999,-20.9425427041095
608,Montenegro,1999,-23.9561715865117
609,Montserrat,1999,
610,Morocco,1999,-23.6006016246544
611,Mozambique,1999,-20.7967588557596
612,Myanmar,1999,-21.8700520643805
613,Namibia,1999,-21.8694595500336
614,Nauru,1999,
615,Nepal,1999,-22.4940249502901
616,Netherlands,1999,-24.4421133740284
617,Netherlands Antilles,1999,
618,New Caledonia,1999,
619,New Zealand,1999,-22.6724665677735
620,Nicaragua,1999,-22.7339690754746
621,Niger,1999,-21.1439691078945
622,Nigeria,1999,-23.0480974391776
623,Niue,1999,
624,Norfolk Island,1999,
625,North Korea,1999,
626,Northern Mariana Islands,1999,
627,Norway,1999,-24.4930376409908
628,Oman,1999,-26.1584960272115
629,Pakistan,1999,-23.1814536677193
630,Palau,1999,-26.7636323854825
631,Panama,1999,-24.027314209967
632,Papua New Guinea,1999,-21.4090645626774
633,Paraguay,1999,-22.1419080196259
634,Peru,1999,-23.7057106353864
635,Philippines,1999,-24.0183628199453
636,Pitcairn,1999,
637,Poland,1999,-23.7895623423713
638,Portugal,1999,-24.8097481341844
639,Puerto Rico,1999,
640,Qatar,1999,
641,Republic of Congo,1999,-23.4721889161579
642,Reunion,1999,
643,Romania,1999,-23.7497851370294
644,Russia,1999,-24.1108658345369
645,Rwanda,1999,-22.5146712348965
646,Saint Helena,1999,
647,Saint Kitts and Nevis,1999,-24.5099131948696
648,Saint Lucia,1999,-24.5504442944593
649,Saint Pierre and Miquelon,1999,
650,Saint Vincent and the Grenadines,1999,-24.5450931901736
651,Samoa,1999,-23.4042712079835
652,San Marino,1999,
653,Sao Tome and Principe,1999,
654,Saudi Arabia,1999,-25.768144440121
655,Senegal,1999,-21.6784560146732
656,Serbia,1999,-23.3176687869
657,Seychelles,1999,-25.7884641406322
658,Sierra Leone,1999,-22.7402470077429
659,Singapore,1999,-26.0071747802745
660,Sint Maarten,1999,
661,Slovakia,1999,-24.1891860597577
662,Slovenia,1999,-24.5692645731898
663,Solomon Islands,1999,-24.5541574559231
664,Somalia,1999,-19.0590566716422
665,South Africa,1999,-23.6662297913923
666,South Korea,1999,-24.7092649002544
667,South Sudan,1999,
668,Spain,1999,-24.5437247007581
669,Sri Lanka,1999,-24.2176043818177
670,State of Palestine,1999,
671,Sudan,1999,-21.020193915075
672,Suriname,1999,-23.2251396852382
673,Svalbard and Jan Mayen Islands,1999,
674,Swaziland,1999,-23.3181679534293
675,Sweden,1999,-24.6567227863767
676,Switzerland,1999,-25.6161553027822
677,Syria,1999,-23.2557859987884
678,Taiwan,1999,-25.3952764030173
679,Tajikistan,1999,-22.6671699911939
680,Tanzania,1999,-21.4640508619898
681,Thailand,1999,-24.1616348885381
682,Timor-Leste,1999,
683,Togo,1999,-22.3150700632039
684,Tokelau,1999,
685,Tonga,1999,-22.8577085500051
686,Trinidad and Tobago,1999,-25.162900709984
687,Tunisia,1999,-24.0176092570661
688,Turkey,1999,-23.9638533587182
689,Turkmenistan,1999,-22.9376891286099
690,Turks and Caicos Islands,1999,
691,Tuvalu,1999,-23.8554412718395
692,Uganda,1999,-21.7808381143781
693,Ukraine,1999,-23.0973455778854
694,United Arab Emirates,1999,-25.0462483537475
695,United Kingdom,1999,-24.5776012313938
696,United States of America,1999,-24.4836933381705
697,United States Virgin Islands,1999,
698,Uruguay,1999,-22.5343562370872
699,Uzbekistan,1999,-22.5037081996908
700,Vanuatu,1999,-22.033221773182
701,Venezuela,1999,-24.1229950804767
702,Viet Nam,1999,-22.9813534257043
703,Wallis and Futuna Islands,1999,
704,Western Sahara,1999,
705,Yemen,1999,-23.9178816048057
706,Zambia,1999,-20.2641518135485
707,Zimbabwe,1999,-22.313189709979
708,Afghanistan,2000,
709,Albania,2000,-23.2809586939117
710,Algeria,2000,-24.9107350620612
711,American Samoa,2000,
712,Andorra,2000,
713,Angola,2000,-21.7716164495706
714,Anguilla,2000,
715,Antigua and Barbuda,2000,-25.2540798986544
716,Argentina,2000,-23.3110786519628
717,Armenia,2000,-23.560136858111
718,Aruba,2000,
719,Australia,2000,-22.6014074093882
720,Austria,2000,-24.8464716845423
721,Azerbaijan,2000,-23.4010618546511
722,Bahamas,2000,-25.6340636192386
723,Bahrain,2000,-27.3997655122823
724,Bangladesh,2000,-22.9805781263429
725,Barbados,2000,-25.0843415847208
726,Belarus,2000,-22.5827340312727
727,Belgium,2000,-24.4916237415315
728,Belize,2000,-22.8924396780077
729,Benin,2000,-22.1817093726809
730,Bermuda,2000,
731,Bhutan,2000,-23.5632451109491
732,Bolivia,2000,-22.3677883839498
733,Bosnia and Herzegovina,2000,-23.1415344365327
734,Botswana,2000,-21.7509654895638
735,Brazil,2000,-23.4456192558871
736,British Virgin Islands,2000,
737,Brunei Darussalam,2000,-26.4357352921594
738,Bulgaria,2000,-23.7178483891123
739,Burkina Faso,2000,-21.3033674568577
740,Burundi,2000,-22.1516909801029
741,Cambodia,2000,-22.0543942025075
742,Cameroon,2000,-20.1783290909378
743,Canada,2000,-23.8789938019106
744,Cape Verde,2000,-23.7295254640126
745,Cayman Islands,2000,
746,Central African Republic,2000,-18.44272769594
747,Chad,2000,-20.4968352389053
748,Chile,2000,-24.301905903935
749,China,2000,-23.2916849519442
750,Colombia,2000,-23.5499564685489
751,Comoros,2000,-23.5614246547365
752,Cook Islands,2000,
753,Costa Rica,2000,-23.9221909250258
754,Cote d'Ivoire,2000,-23.4408366996691
755,Croatia,2000,-24.0577713729216
756,Cuba,2000,-24.1475113518219
757,Curacao,2000,
758,Cyprus,2000,-25.063237877454
759,Czech Republic,2000,-24.3267615280824
760,Dem. Rep. Congo,2000,-21.0967911943243
761,Denmark,2000,-24.2912123826211
762,Djibouti,2000,-22.4973946572085
763,Dominica,2000,-24.0318119609371
