,country,year,DCT
597,Malta,1999,-22.040657869212
598,Marshall Islands,1999,-21.4862726206497
599,Martinique,1999,
600,Mauritania,1999,-22.599308928927
601,Mauritius,1999,-22.4245929746368
602,Mayotte,1999,
603,Mexico,1999,-22.1137435175721
604,Micronesia,1999,-21.8086155562149
605,Moldova,1999,-20.8669909206558
606,Monaco,1999,
607,Mongolia,1999,-20.9688223210667
608,Montenegro,1999,
609,Montserrat,1999,
610,Morocco,1999,-22.0863149594341
611,Mozambique,1999,-22.7956666267083
612,Myanmar,1999,-22.4834719750733
613,Namibia,1999,-22.4565954583462
614,Nauru,1999,
615,Nepal,1999,-23.1135900001468
616,Netherlands,1999,-22.0885915518526
617,Netherlands Antilles,1999,
618,New Caledonia,1999,
619,New Zealand,1999,-22.0302399583869
620,Nicaragua,1999,-22.272018139372
621,Niger,1999,-22.9358691073316
622,Nigeria,1999,-22.2078435788672
623,Niue,1999,
624,Norfolk Island,1999,
625,North Korea,1999,
626,Northern Mariana Islands,1999,
627,Norway,1999,-22.5821943725442
628,Oman,1999,-22.2501085857658
629,Pakistan,1999,-22.2456576334476
630,Palau,1999,-20.8140024204915
631,Panama,1999,-22.5404934223814
632,Papua New Guinea,1999,-22.1556629347945
633,Paraguay,1999,-22.7407355303075
634,Peru,1999,-22.4650744661349
635,Philippines,1999,-22.1824285839088
636,Pitcairn,1999,
637,Poland,1999,-21.2745342283118
638,Portugal,1999,-22.1254512101132
639,Puerto Rico,1999,
640,Qatar,1999,
641,Republic of Congo,1999,-22.2422310364829
642,Reunion,1999,
643,Romania,1999,-21.7100118494699
644,Russia,1999,-20.9742290704216
645,Rwanda,1999,-23.1693888914918
646,Saint Helena,1999,
647,Saint Kitts and Nevis,1999,-22.3582162559551
648,Saint Lucia,1999,-22.2669203116424
649,Saint Pierre and Miquelon,1999,
650,Saint Vincent and the Grenadines,1999,-22.3051537936656
651,Samoa,1999,-22.3740521775756
652,San Marino,1999,
653,Sao Tome and Principe,1999,
654,Saudi Arabia,1999,-21.8451924431987
655,Senegal,1999,-22.2303447511221
656,Serbia,1999,-21.0331504870493
657,Seychelles,1999,-21.7865046251557
658,Sierra Leone,1999,-23.0898507387382
659,Singapore,1999,-22.3215147296385
