,country,year,CDA,CHA,FGA,NDA,BCA
3502,Turkmenistan,2010,32.554456839411394,73.61870691752759,72.9157386246944,20.4788392864073,29.3195339073417
3506,Ukraine,2010,71.6273647194447,100.0,86.67020344138241,63.72395686764,72.2183625192085
3507,United Arab Emirates,2010,16.2581352610377,49.2819357402543,90.3114719817022,1.99628732048645,22.1611743812992
3508,United Kingdom,2010,65.5301773739567,100.0,89.7159918083935,100.0,100.0
3509,United States of America,2010,61.04451163710171,84.92762904857679,87.2859050702182,84.2011906035647,71.28023904029759
3510,Uruguay,2010,24.9683253568777,52.037249704002505,82.3921774756321,45.6064307970957,0.0
3511,Uzbekistan,2010,74.1130394574804,53.271440083886006,78.7172643634858,30.091044710650802,100.0
3513,Venezuela,2010,55.932384990017205,75.62920933192929,86.16740213622991,52.8276693163769,15.892248259808301
3518,Zambia,2010,43.47396152744229,61.8461691864124,73.6117923930863,66.359550987214,38.694431309352495
3521,Albania,2011,46.4940002122025,100.0,79.6453914531117,100.0,69.8992758409937
3522,Algeria,2011,35.632271821652395,87.7233770096245,88.1033696499366,23.6545361717518,43.99264018264049
3524,Angola,2011,0.0,82.06179571664,70.63445232130721,64.5690512493963,0.0
3526,Antigua and Barbuda,2011,37.2960102314165,100.0,83.86701375058671,83.68742235642141,7.06165428865557
3527,Argentina,2011,32.1540755841757,100.0,85.47855764812729,73.48225181081109,65.8746115752879
3528,Armenia,2011,30.2505702214715,66.0567916738744,75.00031257313829,25.165317415939498,50.8189072718254
3530,Australia,2011,45.4469491542664,95.0142316996327,87.4393655705104,92.2718809385324,64.8061387191549
3531,Austria,2011,65.35141181510329,100.0,63.9448449385717,100.0,56.1599516759431
3532,Azerbaijan,2011,54.2068052338543,0.0,79.46082285033691,30.136194637623202,44.1159313813338
3534,Bahrain,2011,11.2017338804459,0.0,89.4531138331547,50.77981949622949,0.0
3537,Belarus,2011,43.5877102513624,38.5101453546843,80.3234529955653,0.0,0.0
3538,Belgium,2011,63.08126305493,83.9570863247638,87.58783552020071,65.4647389960424,88.19616070131781
3543,Bolivia,2011,32.1606157679878,32.2005198834435,82.4329273191437,34.7137641864329,6.9594316906119795
3544,Bosnia and Herzegovina,2011,22.0595573160776,18.3726456690847,82.50782725565601,4.33713855319495,0.0
3546,Brazil,2011,41.6392618617453,64.599667524261,89.91053778604851,46.7788053030145,36.0240644506734
3548,Brunei Darussalam,2011,0.00131290614727675,63.340857209152205,83.36530626034579,47.697987572718894,31.030829011371196
3549,Bulgaria,2011,57.078634341574706,100.0,80.3238669151255,92.1826897334102,65.347310450134
3554,Cameroon,2011,38.5724440438936,97.6252853795331,97.2580166115458,99.20518399485572,100.0
3555,Canada,2011,57.2625991864793,99.43679010019692,90.00873866764341,65.17216108838679,37.9891292750908
3559,Chile,2011,35.3250453787097,66.57105023401161,64.0213024658508,49.90694521825629,29.9088553820666
3560,China,2011,0.6513659845911091,30.5965472099607,86.99589497511559,52.186168065935405,5.13355678298586
3561,Colombia,2011,34.9472310902827,63.711723082298,69.1802440318697,54.31849508977611,30.471311348272
3562,Comoros,2011,49.02470051954351,18.9276476610348,75.19988904855491,54.84780984859321,45.7863362240438
3564,Costa Rica,2011,43.1719037371138,53.297406532943896,83.41929721294021,43.2372164248464,14.8874872556455
3566,Croatia,2011,59.7037627723666,60.2511029409401,88.640002382451,58.0194310571883,49.1870823141436
